"Country","Postneonatal","DTP3","AboveAvgVaccination","died_per_shot_not_taken"
"Afghanistan",58.6818181818182,39.9285714285714,FALSE,1
"Albania",12.6,96.6428571428571,TRUE,4
"Algeria",11.6681818181818,NA,NA,NA
"Andorra",1.55909090909091,96.92,TRUE,1
"Angola",71.2409090909091,37.6153846153846,FALSE,1
"Antigua and Barbuda",4.80454545454545,95.6428571428571,TRUE,1
"Argentina",6.29090909090909,82.2380952380952,FALSE,0
"Armenia",10.0772727272727,91.2,FALSE,1
"Australia",1.82727272727273,84.7380952380952,FALSE,0
"Austria",1.8,87.6428571428571,FALSE,0
"Azerbaijan",24.4772727272727,80.8333333333333,FALSE,1
"Bahamas",2.56818181818182,87.1190476190476,FALSE,0
"Bahrain",2.38181818181818,94.8571428571429,TRUE,0
"Bangladesh",23.7363636363636,70.8536585365854,FALSE,1
"Barbados",4.85,85.6666666666667,FALSE,0
"Belarus",4.57272727272727,95.6,TRUE,1
"Belgium",2.12272727272727,95.047619047619,TRUE,0
"Belize",7.33636363636364,84.2619047619048,FALSE,0
"Benin",44.3090909090909,67.945945945946,FALSE,1
"Bhutan",31.0863636363636,79.547619047619,FALSE,2
"Bolivia",30.25,62.7857142857143,FALSE,1
"Bosnia and Herzegovina",3.74090909090909,80.4,FALSE,0
"Botswana",23.1318181818182,92.452380952381,FALSE,3
"Brazil",13.4954545454545,80.9285714285714,FALSE,1
"Bulgaria",5.84090909090909,95.3571428571429,TRUE,1
"Burkina Faso",55.6545454545455,63.945945945946,FALSE,2
"Burundi",45.1363636363636,76.9268292682927,FALSE,2
"Cambodia",32.7409090909091,64.8421052631579,FALSE,1
"Cameroon",41.9909090909091,58.9512195121951,FALSE,1
"Canada",1.80454545454545,90,FALSE,0
"Cape Verde",17.9590909090909,86.8205128205128,FALSE,1
"Central African Republic",63.1909090909091,40.5952380952381,FALSE,1
"Chad",60.3090909090909,27.4358974358974,FALSE,1
"Chile",4.2,93.9047619047619,TRUE,1
"China",8.46818181818182,NA,NA,NA
"Colombia",9.19545454545455,77.9047619047619,FALSE,0
"Comoros",27.85,73.6052631578947,FALSE,1
"Congo",41.6045454545455,62.0952380952381,FALSE,1
"Costa Rica",3.33636363636364,89.9761904761905,FALSE,0
"Croatia",2.06818181818182,93.2666666666667,TRUE,0
"Cuba",2.63636363636364,94.0952380952381,TRUE,0
"Cyprus",2.13181818181818,88.452380952381,FALSE,0
"Denmark",1.51818181818182,91.7142857142857,FALSE,0
"Djibouti",31.8681818181818,57.975,FALSE,1
"Dominica",5.11818181818182,95.5,TRUE,1
"Dominican Republic",12.5909090909091,72.8809523809524,FALSE,0
"Ecuador",13.9272727272727,73.6904761904762,FALSE,1
"Egypt",16.6181818181818,88,FALSE,1
"El Salvador",13.6409090909091,78.2619047619048,FALSE,1
"Equatorial Guinea",69.3409090909091,50.8378378378378,FALSE,1
"Eritrea",28.7318181818182,86.8275862068966,FALSE,2
"Estonia",3.12272727272727,91,FALSE,0
"Ethiopia",46.8,NA,NA,NA
"Fiji",14.6045454545455,92.0952380952381,FALSE,2
"Finland",1.00909090909091,96.1428571428571,TRUE,0
"France",1.88181818181818,94.7857142857143,TRUE,0
"Gabon",26.4454545454545,NA,NA,NA
"Gambia",41.2772727272727,87.4047619047619,FALSE,3
"Georgia",11.8227272727273,84.1333333333333,FALSE,1
"Germany",1.85909090909091,NA,NA,NA
"Ghana",24.3227272727273,70.452380952381,FALSE,1
"Greece",1.64545454545455,88.7857142857143,FALSE,0
"Grenada",4.73181818181818,85.7619047619048,FALSE,0
"Guatemala",20.9454545454545,71.1428571428571,FALSE,1
"Guinea",55.8454545454545,NA,NA,NA
"Guinea-Bissau",63.5454545454545,63.7948717948718,FALSE,2
"Guyana",15.8590909090909,84.1428571428571,FALSE,1
"Haiti",39.4545454545455,45.8333333333333,FALSE,1
"Honduras",12.2727272727273,84.0238095238095,FALSE,1
"Hungary",2.48181818181818,99,TRUE,2
"Iceland",1.22272727272727,96.1428571428571,TRUE,0
"India",23.65,59.6666666666667,FALSE,1
"Indonesia",18.4818181818182,NA,NA,NA
"Iraq",14.9045454545455,70.5238095238095,FALSE,1
"Ireland",1.87727272727273,76.1904761904762,FALSE,0
"Israel",2.33181818181818,93.4761904761905,TRUE,0
"Italy",1.31818181818182,NA,NA,NA
"Jamaica",6.10454545454545,84.6428571428571,FALSE,0
"Japan",1.34545454545455,89.547619047619,FALSE,0
"Jordan",7.06363636363636,90.8571428571429,FALSE,1
"Kazakhstan",14.6454545454545,93.9,TRUE,2
"Kenya",32.7545454545455,83.9473684210526,FALSE,2
"Kiribati",24.0545454545455,74.8571428571429,FALSE,1
"Kuwait",5.29545454545455,93.5714285714286,TRUE,1
"Kyrgyzstan",19.6727272727273,93.7666666666667,TRUE,3
"Latvia",3.70454545454545,94.6333333333333,TRUE,1
"Lebanon",5.50909090909091,70.609756097561,FALSE,0
"Lesotho",38.8045454545455,83.7619047619048,FALSE,2
"Liberia",71.0727272727273,63.1739130434783,FALSE,2
"Lithuania",3.45454545454545,92.0666666666667,FALSE,0
"Luxembourg",1.50909090909091,95.1282051282051,TRUE,0
"Madagascar",37.45,NA,NA,NA
"Malawi",52.5363636363636,83.8571428571429,FALSE,3
"Malaysia",2.35454545454545,88.9047619047619,FALSE,0
"Maldives",8.44545454545455,82.047619047619,FALSE,0
"Mali",54.8136363636364,NA,NA,NA
"Malta",2.55909090909091,NA,NA,NA
"Marshall Islands",15.35,NA,NA,NA
"Mauritania",23.0909090909091,54.4878048780488,FALSE,0
"Mauritius",4.08181818181818,92,FALSE,0
"Mexico",9.54545454545454,80.7857142857143,FALSE,1
"Moldova",6.92272727272727,91.5666666666667,FALSE,1
"Mongolia",20.4772727272727,90.0952380952381,FALSE,2
"Montenegro",4.51363636363636,90,FALSE,0
"Morocco",17.6590909090909,87.825,FALSE,2
"Mozambique",75.9,65.0487804878049,FALSE,2
"Myanmar",26.5363636363636,66.2142857142857,FALSE,1
"Namibia",20.3272727272727,81.2258064516129,FALSE,1
"Nepal",25.3409090909091,65.2619047619048,FALSE,1
"Netherlands",1.45909090909091,96.5,TRUE,0
"New Zealand",3.01818181818182,85.547619047619,FALSE,0
"Nicaragua",18.5954545454545,76.047619047619,FALSE,1
"Niger",61.1818181818182,41.9268292682927,FALSE,1
"Nigeria",50.1454545454545,NA,NA,NA
"Norway",1.40909090909091,92.3589743589744,FALSE,0
"Oman",4.33636363636364,88.3571428571429,FALSE,0
"Pakistan",29.9181818181818,51.7142857142857,FALSE,1
"Panama",6.64545454545455,82.1904761904762,FALSE,0
"Papua New Guinea",30.7272727272727,51.547619047619,FALSE,1
"Paraguay",8.82272727272727,75.1190476190476,FALSE,0
"Peru",14.8409090909091,76,FALSE,1
"Philippines",10.8318181818182,76.452380952381,FALSE,0
"Poland",2.76363636363636,96.7142857142857,TRUE,1
"Portugal",2.17727272727273,92.3095238095238,FALSE,0
"Qatar",4.36363636363636,85.6904761904762,FALSE,0
"Romania",10.1090909090909,NA,NA,NA
"Rwanda",43.7681818181818,83.219512195122,FALSE,3
"Saint Lucia",4.09090909090909,88.7619047619048,FALSE,0
"Saint Vincent and the Grenadines",5.66818181818182,93.1428571428571,TRUE,1
"Samoa",6.20454545454545,79.6666666666667,FALSE,0
"Sao Tome and Principe",24.8363636363636,81.2926829268293,FALSE,1
"Saudi Arabia",5.11818181818182,90.5,FALSE,0
"Senegal",28.4181818181818,74.3611111111111,FALSE,1
"Serbia",2.19090909090909,92.3333333333333,FALSE,0
"Seychelles",3.54545454545455,94.0243902439024,TRUE,1
"Sierra Leone",74.5,75.7391304347826,FALSE,3
"Singapore",1.01363636363636,93.2142857142857,TRUE,0
"Slovakia",3.24545454545455,98.25,TRUE,2
"Slovenia",1.58636363636364,94.8,TRUE,0
"Solomon Islands",11.6454545454545,73.9285714285714,FALSE,0
"Somalia",50.2363636363636,NA,NA,NA
"South Africa",23.0681818181818,77.2564102564103,FALSE,1
"Spain",1.65,NA,NA,NA
"Sri Lanka",3.79090909090909,89.1904761904762,FALSE,0
"Sudan",30.8181818181818,60.3571428571429,FALSE,1
"Suriname",14.5818181818182,74.9047619047619,FALSE,1
"Sweden",1.09545454545455,98.5,TRUE,0
"Switzerland",1.51363636363636,92.8333333333333,FALSE,0
"Tajikistan",28.4227272727273,87.3666666666667,FALSE,2
"Thailand",2.63181818181818,88.1666666666667,FALSE,0
"Togo",35.5,63.8048780487805,FALSE,1
"Tonga",8.04545454545454,90.2142857142857,FALSE,1
"Trinidad and Tobago",8.2,84.5952380952381,FALSE,1
"Tunisia",9.2,NA,NA,NA
"Turkey",19.6409090909091,81.8809523809524,FALSE,1
"Turkmenistan",25.5818181818182,95.4666666666667,TRUE,5
"Uganda",46.45,59,FALSE,1
"Ukraine",4.45909090909091,79.8,FALSE,0
"United Arab Emirates",2.43636363636364,85.6666666666667,FALSE,0
"United Kingdom",2.08636363636364,85.2619047619048,FALSE,0
"United States",2.57272727272727,94.452380952381,TRUE,0
"Uruguay",6.31363636363636,87.7857142857143,FALSE,0
"Uzbekistan",16.4045454545455,94.6,TRUE,3
"Vanuatu",11.6681818181818,NA,NA,NA
"Venezuela",6.93636363636364,65.3095238095238,FALSE,0
"Yemen",40.9227272727273,54.1904761904762,FALSE,1
"Zambia",50.2772727272727,NA,NA,NA
"Zimbabwe",27.2636363636364,79.2682926829268,FALSE,1
